ObjectId,goal_code,goal_labelEN,goal_descEN,target_code,target_descEN,indicator_code,indicator_reference,indicator_descEN,series_release,series_tags,series,seriesDescription,geoAreaCode,geoAreaName,level_,parentCode,parentName,type,X,Y,ISO3,UN_Member,Country_Profile,age_code,age_desc,sex_code,sex_desc,UnitMultiplier,Units_code,Units_desc,timeSeries_id,timeSeries_keys,n_years,min_year,max_year,years,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,value_2018,value_2019,value_2020,latest_value,footnotes,nature
1,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",44,Bahamas,4,29,Caribbean,Country,-78.05111663,24.69546597,BHS,1,1,Y_GE15,15 years old and over,F,Female,,PT,Percentage,SL_TLF_UEM__Y_GE15__F,age__sex,15,2001,2018,"[2001, 2003, 2005, 2006, 2007, 2008, 2009, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]",,7,,11.8,,11.2,8,9.1,9.3,14,,15.3,14,16.3,14.6,12.9,14.5,10.9,10,,,10,"[2001,2003,2005,2007-2008]: Data reference period: April // [2006,2009,2011,2013-2018]: Data reference period: May // [2012]: Data reference period: November | Break in series: Methodology revised",C: Country data
2,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",124,Canada,4,21,Northern America,Country,-101.6575058,57.72360191,CAN,1,1,Y15T24,15 to 24 years old,_T,Both sexes,,PT,Percentage,SL_TLF_UEM__Y15T24___T,age__sex,20,2000,2019,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",12.7,12.9,13.6,13.6,13.5,12.4,11.7,11.2,11.6,15.4,14.9,14.3,14.4,13.7,13.5,13.2,13.1,11.6,11.1,11,,11,Repository: ILO-STATISTICS - Micro data processing,C: Country data
3,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",418,Lao People's Democratic Republic,4,35,South-Eastern Asia,Country,101.9901968,20.27482773,LAO,1,1,Y_GE15,15 years old and over,_T,Both sexes,,PT,Percentage,SL_TLF_UEM__Y_GE15___T,age__sex,3,2005,2017,"[2005, 2010, 2017]",,,,,,1.4,,,,,0.7,,,,,,,9.4,,,,9.4,[2005]: Data reference period: January // [2010]: Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised // [2017]: Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,C: Country data
4,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",44,Bahamas,4,29,Caribbean,Country,-78.05111663,24.69546597,BHS,1,1,Y_GE15,15 years old and over,M,Male,,PT,Percentage,SL_TLF_UEM__Y_GE15__M,age__sex,15,2001,2018,"[2001, 2003, 2005, 2006, 2007, 2008, 2009, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]",,6.7,,10,,9.3,7,6.7,7.2,14.5,,13.7,14.1,16.1,13,11,11.1,8,10.1,,,10.1,"[2001,2003,2005,2007-2008]: Data reference period: April // [2006,2009,2011,2013-2018]: Data reference period: May // [2012]: Data reference period: November | Break in series: Methodology revised",C: Country data
5,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",124,Canada,4,21,Northern America,Country,-101.6575058,57.72360191,CAN,1,1,Y15T24,15 to 24 years old,F,Female,,PT,Percentage,SL_TLF_UEM__Y15T24__F,age__sex,20,2000,2019,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",11.4,11.1,11.7,11.8,11.8,10.6,10.4,10.1,10.1,12.3,12.5,12.4,12.7,12.2,11.9,11.3,11.3,9.9,9.6,9.7,,9.7,Repository: ILO-STATISTICS - Micro data processing,C: Country data
6,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",418,Lao People's Democratic Republic,4,35,South-Eastern Asia,Country,101.9901968,20.27482773,LAO,1,1,Y_GE15,15 years old and over,F,Female,,PT,Percentage,SL_TLF_UEM__Y_GE15__F,age__sex,3,2005,2017,"[2005, 2010, 2017]",,,,,,1.4,,,,,0.7,,,,,,,7.8,,,,7.8,[2005]: Data reference period: January // [2010]: Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised // [2017]: Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,C: Country data
7,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",44,Bahamas,4,29,Caribbean,Country,-78.05111663,24.69546597,BHS,1,1,Y15T24,15 to 24 years old,_T,Both sexes,,PT,Percentage,SL_TLF_UEM__Y15T24___T,age__sex,10,2001,2018,"[2001, 2003, 2005, 2007, 2008, 2009, 2011, 2012, 2016, 2018]",,15.1,,24.1,,20.2,,18.9,17.1,26.2,,27.5,30.8,,,,25.8,,24.1,,,24.1,"[2001,2003,2005,2007-2008]: Data reference period: April // [2009,2011,2016,2018]: Data reference period: May // [2012]: Data reference period: November | Break in series: Methodology revised",C: Country data
8,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",44,Bahamas,4,29,Caribbean,Country,-78.05111663,24.69546597,BHS,1,1,Y15T24,15 to 24 years old,F,Female,,PT,Percentage,SL_TLF_UEM__Y15T24__F,age__sex,9,2001,2016,"[2001, 2003, 2005, 2007, 2008, 2009, 2011, 2012, 2016]",,16.6,,28.2,,24.1,,21.7,20.2,30.1,,30.3,32.2,,,,31.6,,,,,31.6,"[2001,2003,2005,2007-2008]: Data reference period: April // [2009,2011,2016]: Data reference period: May // [2012]: Data reference period: November | Break in series: Methodology revised",C: Country data
9,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",44,Bahamas,4,29,Caribbean,Country,-78.05111663,24.69546597,BHS,1,1,Y15T24,15 to 24 years old,M,Male,,PT,Percentage,SL_TLF_UEM__Y15T24__M,age__sex,9,2001,2016,"[2001, 2003, 2005, 2007, 2008, 2009, 2011, 2012, 2016]",,14.1,,20.3,,16.9,,16.7,14.6,22.9,,25.4,29.6,,,,20.8,,,,,20.8,"[2001,2003,2005,2007-2008]: Data reference period: April // [2009,2011,2016]: Data reference period: May // [2012]: Data reference period: November | Break in series: Methodology revised",C: Country data
10,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",44,Bahamas,4,29,Caribbean,Country,-78.05111663,24.69546597,BHS,1,1,Y_GE25,25 years old and over,_T,Both sexes,,PT,Percentage,SL_TLF_UEM__Y_GE25___T,age__sex,9,2001,2016,"[2001, 2003, 2005, 2007, 2008, 2009, 2011, 2012, 2016]",,5.1,,7.8,,8.1,,5.6,6.4,11.9,,12.1,10.7,,,,10.1,,,,,10.1,"[2001,2003,2005,2007-2008]: Data reference period: April // [2009,2011,2016]: Data reference period: May // [2012]: Data reference period: November | Break in series: Methodology revised",C: Country data
11,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",44,Bahamas,4,29,Caribbean,Country,-78.05111663,24.69546597,BHS,1,1,Y_GE25,25 years old and over,F,Female,,PT,Percentage,SL_TLF_UEM__Y_GE25__F,age__sex,9,2001,2016,"[2001, 2003, 2005, 2007, 2008, 2009, 2011, 2012, 2016]",,5.4,,8.3,,8.7,,6.7,7.2,11,,13,10.8,,,,11.2,,,,,11.2,"[2001,2003,2005,2007-2008]: Data reference period: April // [2009,2011,2016]: Data reference period: May // [2012]: Data reference period: November | Break in series: Methodology revised",C: Country data
12,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",44,Bahamas,4,29,Caribbean,Country,-78.05111663,24.69546597,BHS,1,1,Y_GE25,25 years old and over,M,Male,,PT,Percentage,SL_TLF_UEM__Y_GE25__M,age__sex,9,2001,2016,"[2001, 2003, 2005, 2007, 2008, 2009, 2011, 2012, 2016]",,4.8,,7.5,,7.5,,4.5,5.5,12.7,,11.2,10.7,,,,9.1,,,,,9.1,"[2001,2003,2005,2007-2008]: Data reference period: April // [2009,2011,2016]: Data reference period: May // [2012]: Data reference period: November | Break in series: Methodology revised",C: Country data
13,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",748,Eswatini,4,18,Southern Africa,Country,31.50149288,-26.56471011,SWZ,1,1,Y15T24,15 to 24 years old,F,Female,,PT,Percentage,SL_TLF_UEM__Y15T24__F,age__sex,1,2016,2016,[2016],,,,,,,,,,,,,,,,,50.1,,,,,50.1,Repository: ILO-STATISTICS - Micro data processing,C: Country data
14,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",48,Bahrain,4,145,Western Asia,Country,50.5490754,26.04407747,BHR,1,1,Y_GE15,15 years old and over,_T,Both sexes,,PT,Percentage,SL_TLF_UEM__Y_GE15___T,age__sex,2,2010,2012,"[2010, 2012]",,,,,,,,,,,1.1,,1.2,,,,,,,,,1.2,[2010]: Data reference period: April | Age coverage - maximum age: 64 years old,C: Country data
15,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",48,Bahrain,4,145,Western Asia,Country,50.5490754,26.04407747,BHR,1,1,Y_GE15,15 years old and over,F,Female,,PT,Percentage,SL_TLF_UEM__Y_GE15__F,age__sex,2,2010,2012,"[2010, 2012]",,,,,,,,,,,3.7,,3.9,,,,,,,,,3.9,[2010]: Data reference period: April | Age coverage - maximum age: 64 years old,C: Country data
16,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",48,Bahrain,4,145,Western Asia,Country,50.5490754,26.04407747,BHR,1,1,Y_GE15,15 years old and over,M,Male,,PT,Percentage,SL_TLF_UEM__Y_GE15__M,age__sex,2,2010,2012,"[2010, 2012]",,,,,,,,,,,0.4,,0.5,,,,,,,,,0.5,[2010]: Data reference period: April | Age coverage - maximum age: 64 years old,C: Country data
17,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",48,Bahrain,4,145,Western Asia,Country,50.5490754,26.04407747,BHR,1,1,Y15T24,15 to 24 years old,_T,Both sexes,,PT,Percentage,SL_TLF_UEM__Y15T24___T,age__sex,2,2010,2012,"[2010, 2012]",,,,,,,,,,,5,,5.3,,,,,,,,,5.3,[2010]: Data reference period: April | Age coverage - maximum age: 64 years old,C: Country data
18,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",48,Bahrain,4,145,Western Asia,Country,50.5490754,26.04407747,BHR,1,1,Y15T24,15 to 24 years old,F,Female,,PT,Percentage,SL_TLF_UEM__Y15T24__F,age__sex,2,2010,2012,"[2010, 2012]",,,,,,,,,,,11.6,,12.2,,,,,,,,,12.2,[2010]: Data reference period: April | Age coverage - maximum age: 64 years old,C: Country data
19,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",48,Bahrain,4,145,Western Asia,Country,50.5490754,26.04407747,BHR,1,1,Y15T24,15 to 24 years old,M,Male,,PT,Percentage,SL_TLF_UEM__Y15T24__M,age__sex,2,2010,2012,"[2010, 2012]",,,,,,,,,,,2.5,,2.6,,,,,,,,,2.6,[2010]: Data reference period: April | Age coverage - maximum age: 64 years old,C: Country data
20,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",48,Bahrain,4,145,Western Asia,Country,50.5490754,26.04407747,BHR,1,1,Y_GE25,25 years old and over,_T,Both sexes,,PT,Percentage,SL_TLF_UEM__Y_GE25___T,age__sex,2,2010,2012,"[2010, 2012]",,,,,,,,,,,0.7,,0.7,,,,,,,,,0.7,[2010]: Data reference period: April | Age coverage - maximum age: 64 years old,C: Country data
21,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",48,Bahrain,4,145,Western Asia,Country,50.5490754,26.04407747,BHR,1,1,Y_GE25,25 years old and over,F,Female,,PT,Percentage,SL_TLF_UEM__Y_GE25__F,age__sex,2,2010,2012,"[2010, 2012]",,,,,,,,,,,2.4,,2.5,,,,,,,,,2.5,[2010]: Data reference period: April | Age coverage - maximum age: 64 years old,C: Country data
22,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",48,Bahrain,4,145,Western Asia,Country,50.5490754,26.04407747,BHR,1,1,Y_GE25,25 years old and over,M,Male,,PT,Percentage,SL_TLF_UEM__Y_GE25__M,age__sex,2,2010,2012,"[2010, 2012]",,,,,,,,,,,0.2,,0.2,,,,,,,,,0.2,[2010]: Data reference period: April | Age coverage - maximum age: 64 years old,C: Country data
23,8,Goal 8,"Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,"By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value",C080502,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",2021.Q2.G.03,"['employment', 'unemployment']",SL_TLF_UEM,"Unemployment rate, by sex and age (%)",50,Bangladesh,5,127,Southern Asia (excluding India),Country,89.17660788,22.86961622,BGD,1,1,Y_GE15,15 years old and over,_T,Both sexes,,PT,Percentage,SL_TLF_UEM__Y_GE15___T,age__sex,9,2000,2017,"[2000, 2003, 2005, 2006, 2009, 2010, 2013, 2016, 2017]",3.3,,,4.3,,4.3,3.6,,,5,3.4,,,4.4,,,4.4,4.4,,,,4.4,"[2000,2003,2005]: Data reference period: Noncalendar year // [2006,2010,2013]: Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised // [2016]: Population coverage: Excluding both institutional population and armed forces and/or conscripts // [2017]: Repository: ILO-STATISTICS - Micro data processing",C: Country data
