ObjectId,goal_code,goal_labelEN,goal_descEN,target_code,target_descEN,indicator_code,indicator_reference,indicator_descEN,series_release,series_tags,series,seriesDescription,geoAreaCode,geoAreaName,level_,parentCode,parentName,type,X,Y,ISO3,UN_Member,Country_Profile,sex_code,sex_desc,UnitMultiplier,Units_code,Units_desc,timeSeries_id,timeSeries_keys,n_years,min_year,max_year,years,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,value_2018,value_2019,value_2020,latest_value,footnotes,nature
1,5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2021.Q2.G.03,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTL,Proportion of women in managerial positions (%),4,Afghanistan,5,127,Southern Asia (excluding India),Country,66.02688198,33.83160199,AFG,1,1,F,Female,,PT,Percentage,IC_GEN_MGTL__F,sex,2,2014,2017,"[2014, 2017]",,,,,,,,,,,,,,,6.37,,,4.05,,,,4.05,Repository: ILO-STATISTICS - Micro data processing,C: Country data
2,5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2021.Q2.G.03,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTL,Proportion of women in managerial positions (%),4,Afghanistan,5,127,Southern Asia (excluding India),Country,66.02688198,33.83160199,AFG,1,1,F,Female,,PT,Percentage,IC_GEN_MGTL__F,sex,2,2014,2017,"[2014, 2017]",,,,,,,,,,,,,,,6.37,,,4.05,,,,4.05,Repository: ILO-STATISTICS - Micro data processing,C: Country data
3,5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2021.Q2.G.03,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTL,Proportion of women in managerial positions (%),499,Montenegro,5,39,Southern Europe,Country,19.25214024,42.78717043,MNE,1,1,F,Female,,PT,Percentage,IC_GEN_MGTL__F,sex,15,2003,2019,"[2003, 2005, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",,,,26.53,,19.67,,31.39,23.36,24.5,30.19,30.95,28.46,25.43,26.67,22.34,29.36,22.14,28.77,35.78,,35.78,"[2003]: Data reference period: October // [2005,2007-2010]: Data reference period: October | Age coverage - maximum age: 64 years old // [2011]: Repository: Eurostat special tabulation | Break in series: Methodology revised // [2012-2019]: Repository: Eurostat special tabulation",C: Country data
4,5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2021.Q2.G.03,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTL,Proportion of women in managerial positions (%),8,Albania,5,39,Southern Europe,Country,20.06660928,41.13897007,ALB,1,1,F,Female,,PT,Percentage,IC_GEN_MGTL__F,sex,11,2007,2019,"[2007, 2008, 2009, 2010, 2012, 2014, 2015, 2016, 2017, 2018, 2019]",,,,,,,,20.47,23.74,22.47,19.1,,16.07,,18.68,19.76,24.14,22.65,29.25,34.11,,34.11,"[2007]: Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised // [2008-2010,2012,2014-2019]: Repository: ILO-STATISTICS - Micro data processing",C: Country data
5,5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2021.Q2.G.03,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTL,Proportion of women in managerial positions (%),12,Algeria,4,15,Northern Africa,Country,2.678164227,28.15940032,DZA,1,1,F,Female,,PT,Percentage,IC_GEN_MGTL__F,sex,6,2001,2017,"[2001, 2003, 2004, 2013, 2014, 2017]",,5.24,,5.69,4.87,,,,,,,,,10.61,9.89,,,8.36,,,,8.36,Data reference period: September,C: Country data
6,5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2021.Q2.G.03,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTL,Proportion of women in managerial positions (%),504,Morocco,4,15,Northern Africa,Country,-6.281942841,31.8440131,MAR,1,1,F,Female,,PT,Percentage,IC_GEN_MGTL__F,sex,5,2004,2008,"[2004, 2005, 2006, 2007, 2008]",,,,,10.76,12.4,11.89,12.1,12.79,,,,,,,,,,,,,12.79,,C: Country data
7,5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2021.Q2.G.03,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTL,Proportion of women in managerial positions (%),508,Mozambique,4,14,Eastern Africa,Country,38.18479941,-14.27963886,MOZ,1,1,F,Female,,PT,Percentage,IC_GEN_MGTL__F,sex,1,2015,2015,[2015],,,,,,,,,,,,,,,,24.33,,,,,,24.33,Repository: ILO-STATISTICS - Micro data processing,C: Country data
8,5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2021.Q2.G.03,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTL,Proportion of women in managerial positions (%),24,Angola,4,17,Middle Africa,Country,17.57817062,-12.33724746,AGO,1,1,F,Female,,PT,Percentage,IC_GEN_MGTL__F,sex,1,2010,2010,[2010],,,,,,,,,,,29.76,,,,,,,,,,,29.76,,C: Country data
9,5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2021.Q2.G.03,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTL,Proportion of women in managerial positions (%),104,Myanmar,4,35,South-Eastern Asia,Country,96.51752295,21.19332882,MMR,1,1,F,Female,,PT,Percentage,IC_GEN_MGTL__F,sex,4,2015,2019,"[2015, 2017, 2018, 2019]",,,,,,,,,,,,,,,,28.36,,35.55,32.34,35.72,,35.72,[2015]: Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised // [2017]: Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised // [2018-2019]: Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers,C: Country data
10,5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2021.Q2.G.03,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTL,Proportion of women in managerial positions (%),516,Namibia,4,18,Southern Africa,Country,17.21907885,-22.13817068,NAM,1,1,F,Female,,PT,Percentage,IC_GEN_MGTL__F,sex,8,2000,2018,"[2000, 2004, 2010, 2012, 2013, 2014, 2016, 2018]",30.19,,,,35.98,,,,,,36.56,,29.7,42.6,43.97,,39.9,,43.57,,,43.57,"[2000,2004]: Age coverage - maximum age: 69 years old // [2010]: Reference group coverage: Total employment // [2012]: Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised // [2013-2014,2016,2018]: Repository: ILO-STATISTICS - Micro data processing",C: Country data
