ObjectId,goal_code,goal_labelEN,goal_descEN,target_code,target_descEN,indicator_code,indicator_reference,indicator_descEN,series_release,series_tags,series,seriesDescription,geoAreaCode,geoAreaName,level_,parentCode,parentName,type,X,Y,ISO3,UN_Member,Country_Profile,sex_code,sex_desc,UnitMultiplier,Units_code,Units_desc,timeSeries_id,timeSeries_keys,n_years,min_year,max_year,years,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,value_2018,value_2019,value_2020,latest_value,footnotes,nature
1,5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2021.Q2.G.03,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),4,Afghanistan,5,127,Southern Asia (excluding India),Country,66.02688198,33.83160199,AFG,1,1,F,Female,,PT,Percentage,IC_GEN_MGTN__F,sex,1,2017,2017,[2017],,,,,,,,,,,,,,,,,,4.26,,,,4.26,Repository: ILO-STATISTICS - Micro data processing,C: Country data
2,5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2021.Q2.G.03,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),4,Afghanistan,5,127,Southern Asia (excluding India),Country,66.02688198,33.83160199,AFG,1,1,F,Female,,PT,Percentage,IC_GEN_MGTN__F,sex,1,2017,2017,[2017],,,,,,,,,,,,,,,,,,4.26,,,,4.26,Repository: ILO-STATISTICS - Micro data processing,C: Country data
3,5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2021.Q2.G.03,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),8,Albania,5,39,Southern Europe,Country,20.06660928,41.13897007,ALB,1,1,F,Female,,PT,Percentage,IC_GEN_MGTN__F,sex,12,2007,2019,"[2007, 2008, 2009, 2010, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",,,,,,,,22.81,24.43,21.98,16.25,,14.71,29.3,20.62,19.28,24.02,22.65,31.6,41.34,,41.34,"[2007]: Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised // [2008-2010,2012-2019]: Repository: ILO-STATISTICS - Micro data processing",C: Country data
4,5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2021.Q2.G.03,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),24,Angola,4,17,Middle Africa,Country,17.57817062,-12.33724746,AGO,1,1,F,Female,,PT,Percentage,IC_GEN_MGTN__F,sex,1,2014,2014,[2014],,,,,,,,,,,,,,,18.19,,,,,,,18.19,Repository: ILO-STATISTICS - Micro data processing,C: Country data
5,5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2021.Q2.G.03,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),32,Argentina,4,5,South America,Country,-65.14563274,-35.19446255,ARG,1,1,F,Female,,PT,Percentage,IC_GEN_MGTN__F,sex,13,2004,2019,"[2004, 2005, 2006, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2017, 2018, 2019]",,,,,28.61,26.26,29.41,,29.93,34.43,32.14,30.15,32.34,36.49,38.64,,,32.63,33.18,33.14,,33.14,"[2004]: Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas | Break in series: Methodology revised // [2005-2006,2017-2019]: Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas // [2008-2014]: Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas | Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",C: Country data
6,5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2021.Q2.G.03,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),40,Austria,5,155,Western Europe,Country,14.14172472,47.58704857,AUT,1,1,F,Female,,PT,Percentage,IC_GEN_MGTN__F,sex,20,2000,2019,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",28.13,29.38,30.78,28.5,22.18,21.5,20.96,21,25.19,23.25,25.42,26.07,27.13,26.33,27.85,27.88,29.52,29.19,28.86,32.01,,32.01,"[2000-2003,2006,2008-2010,2012-2019]: Repository: Eurostat special tabulation // [2004-2005,2007,2011]: Repository: Eurostat special tabulation | Break in series: Methodology revised",C: Country data
7,5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2021.Q2.G.03,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),50,Bangladesh,5,127,Southern Asia (excluding India),Country,89.17660788,22.86961622,BGD,1,1,F,Female,,PT,Percentage,IC_GEN_MGTN__F,sex,3,2006,2017,"[2006, 2010, 2017]",,,,,,,10.9,,,,10.04,,,,,,,11.48,,,,11.48,"[2006,2010]: Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised // [2017]: Repository: ILO-STATISTICS - Micro data processing",C: Country data
8,5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2021.Q2.G.03,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),50,Bangladesh,5,127,Southern Asia (excluding India),Country,89.17660788,22.86961622,BGD,1,1,F,Female,,PT,Percentage,IC_GEN_MGTN__F,sex,3,2006,2017,"[2006, 2010, 2017]",,,,,,,10.9,,,,10.04,,,,,,,11.48,,,,11.48,"[2006,2010]: Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised // [2017]: Repository: ILO-STATISTICS - Micro data processing",C: Country data
9,5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2021.Q2.G.03,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),52,Barbados,4,29,Caribbean,Country,-59.5346489,13.13648273,BRB,1,1,F,Female,,PT,Percentage,IC_GEN_MGTN__F,sex,1,2019,2019,[2019],,,,,,,,,,,,,,,,,,,,43.17,,43.17,Repository: ILO-STATISTICS - Micro data processing,C: Country data
10,5,Goal 5,Achieve gender equality and empower all women and girls,5.5,"Ensure women’s full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life",C050502,5.5.2,Proportion of women in managerial positions,2021.Q2.G.03,"['advancement of women', 'gender equality', 'women managers', 'women']",IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),56,Belgium,5,155,Western Europe,Country,4.660976456,50.64104975,BEL,1,1,F,Female,,PT,Percentage,IC_GEN_MGTN__F,sex,20,2000,2019,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",24.53,28.38,27.97,27.33,26.91,30.24,31.13,33.54,31.9,34.57,34.77,30.45,31.67,30.75,31.3,31.04,31.98,32.91,33.45,31.88,,31.88,"[2000,2002-2004,2006-2010,2012-2016,2018-2019]: Repository: Eurostat special tabulation // [2001,2005,2011,2017]: Repository: Eurostat special tabulation | Break in series: Methodology revised",C: Country data
